**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Identifiers	Identification Date	Stage Lower	Lower Modifier	Stage Upper	Upper Modifier	Age Start	Age Stop	Stage Comments	nLab Number	Collection Comments
D44/f9624	S159/f0624	Outcrop						Waterhouse, J.B.; 		Braxtonian				276.0	259.8		GNS GS 6073	BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1982, PAL.BULL. 48. BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1980, JRSNZ 10 (1). GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1963, NZJGG 6: 115-154.	
D44/f9624	S159/f0624	Outcrop								Permian				298.9	252.2			Deltopecten subquinquelineatus occurs in Australian Upper Marine Permian. Specimens very poorly preserved: show affinities with collection 6073.	
D44/f9625	S159/f0625	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 6054	GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1958, NZJGG 1 (4); WATERHOUSE 1963, NZJGG 6: 115-154. BRACH DETERMINATIONS PUBLISHED WATERHOUSE 1964, PAL. BULL 35;.	
D44/f9626	S159/f0626	Outcrop						Waterhouse, J.B.; 		Braxtonian				276.0	259.8		GNS GS 6074	GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1963, NZJGG 6. BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1980, JRSNZ 10 (1). BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9651	S159/f0651	Outcrop						Waterhouse, J.B.; 		Telfordian		Mangapirian		288.5	276.0		GNS GS 6393	DETERMINATIONS PUBLISHED WATERHOUSE, 1964 PAL.BULL. 35; WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9671	S159/f0671	Outcrop								Mangapirian				285.0	276.0			Fragments.	
D44/f9672	S159/f0672	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 6323	BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1958, NZJGG 1 (1): 166-177; WATERHOUSE 1965, PALEONT. 7; 610-55; WATERHOUSE 1969, PAL.BULL. 41; WATERHOUSE 1980, JRSNZ 10 (1); 97-133; WATERHOUSE 1982, PAL. BULL. 49. BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1964, PAL.BULL. 35; WATERHOUSE 1982, PAL.BULL. 48. GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1963, NZJGG 6 (4): 587-622; 6 (2): 115-54, 6 (5): 817-42. SCAPHOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1980, JRSNZ 10 (2): 195-211.	
D44/f9672A	S159/f0672A	Outcrop						Olivecrona, Y.M.; 		Permian				298.9	252.2		GNS L 9746 /1	COUNT 100 - 24% SPORES, 69% BISACCATE, 1% TAENIATE SACCATES, 6% ACRITARCHS.	
D44/f9672A	S159/f0672A	Outcrop						Olivecrona, Y.M.; 		Permian				298.9	252.2		GNS L 9747 /1	COUNT 100 - 24% SPORES, 66% BISACCATE, 5% TAENIATE SACCATES, 5% ACRITARCHS.	
D44/f9672A	S159/f0672A	Outcrop						Campbell, H.J.; 	March 24, 1981	Braxtonian				276.0	259.8		GNS GS 12654		
D44/f9751	S159/f0751	Outcrop						Campbell, H.J.; 	July 9, 1981	Etalian				245.5	238.0		GNS GS 6618		
D44/f9751	S159/f0751	Outcrop						MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 1453	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9779	S159/f0779	Outcrop																	
D44/f9779	S159/f0779	Outcrop						MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 1446	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9779A	S159/f0779A	Outcrop						Campbell, J.D.; 		Etalian				245.5	238.0				
D44/f9780	S159/f0780	Outcrop																	
D44/f9780	S159/f0780	Outcrop						MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 1447	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9861	S159/f0861	Outcrop						Waterhouse, J.B.; 		Mangapirian				285.0	276.0		GNS GS 7343	GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1963, NZJGG 6: 587-622. BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1980, JRSNZ 10 (1): 97-133; WATERHOUSE 1982, PAL. BULL. 49. BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1964, PAL.BULL. 35; WATERHOUSE 1982, PAL. BULL. 48.	
D44/f9863	S159/f0863	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7345	GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1963, NZJGG 6: 587-622. BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1982, PAL. BULL. 48. BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1982, PAL.BULL. 49.	
D44/f9864	S159/f0864	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7346	DETERMINATIONS PUBLISHED WATERHOUSE 1964, PAL.BULL. 35; WATERHOUSE 1982, PAL. BULL. 48.	
D44/f9865	S159/f0865	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7347	GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1963, NZJGG 6: 88-112. BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1965, PALEONT. 7. BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1964, PAL.BULL. 35; WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9870	S159/f0870	Outcrop															GNS B 1115	Glossopteris fragments.	
D44/f9870	S159/f0870	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7352	BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1964, PAL.BULL. 35; WATERHOUSE 1982, PAL.BULL. 48. BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1969, PAL.BULL. 41. FIRST AND ONLY KNOWN GLOSSOPTERIS RECORD IN NEW ZEALAND.	
D44/f9872	S159/f0872	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7354	DETERMINATIONS PUBLISHED WATERHOUSE 1964, PAL.BULL. 35; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9873	S159/f0873	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7355	DETERMINATIONS PUBLISHED WATERHOUSE 1964, PAL.BULL. 35; WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9874	S159/f0874	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7356	DETERMINATIONS PUBLISHED WATERHOUSE 1964, PAL.BULL. 35; WATERHOUSE 1967, NZJGG 10: 74-118; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9875	S159/f0875	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7357	DETERMINATIONS PUBLISHED WATERHOUSE 1967, NZJGG 10: 74-118; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9876	S159/f0876	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7358	BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1964, PAL.BULL. 35; WATERHOUSE 1967, NZJGG 10: 74-118; WATERHOUSE 1982, PAL. BULL. 48. MOLLUSC DETERMINATIONS PUBLISHED WATERHOUSE 1980, JRSNZ 10 (2): 195-214. GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1963, NZJGG 6: 587-622.	
D44/f9878	S159/f0878	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7807	DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9881	S159/f0881	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7810		
D44/f9882	S159/f0882	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7811	BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1965, PALEONT. 7; WATERHOUSE 1969, PAL.BULL. 41; WATERHOUSE 1980, JRSNZ 10 (1): 97-133. GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1963, NZJGG 6: 88-112. BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9883	S159/f0883	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7812	GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1963, NZJGG 6: 115-154; WATERHOUSE 1980, JRSNZ 10 (2): 195-214. BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1965, PALEONT 7: 630-655; WATERHOUSE 1969, PAL.BULL. 41; WATERHOUSE 1980, JRSNZ 10 (1): 97-133. BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129.	
D44/f9885	S159/f0885	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7814	DETERMINATIONS PUBLISHED WATERHOUSE 1967, NZJGG 10: 74-118; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9888	S159/f0888	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 7818	BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1982 PAL.BULL. 48. BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1982, PAL.BULL. 49.	
D44/f9891	S159/f0891	Outcrop	CTH 28																
D44/f9891	S159/f0891	Outcrop	CTH 28					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU CTH 28	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9892	S159/f0892	Outcrop																	
D44/f9892	S159/f0892	Outcrop						MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU CTH 29	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9894	S159/f0894	Outcrop																	
D44/f9894	S159/f0894	Outcrop						MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU CTH 51	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f9949	S159/f0949	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 9391	DETERMINATIONS PUBLISHED 1968, PALEONT. 129; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9949A	S159/f0949A	Outcrop	HJC1145					Campbell, H.J.; 	October 16, 1987	Aparima Series		D'Urville Series		288.5	251.0		GNS GS 14322		
D44/f9951	S159/f0951	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 9397	DETERMINATIONS PUBLISHED WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9954	S159/f0954	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 9401	DETERMINATIONS PUBLISHED WATERHOUSE 1967, NZJGG 10: 74-118; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9955	S159/f0955	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 9402		
D44/f9957	S159/f0957	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 9276	BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1982, PAL.BULL. 48. BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1982, PAL.BULL. 49.	
D44/f9958	S159/f0958	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 9277	DETERMINATONS PUBLISHED WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9959	S159/f0959	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 9278	DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1982, PAL.BULL. 48.	
D44/f9960	S159/f0960	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 9279	BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1980, JRSNZ 10 (1): 97-133. GASTROPOD DETERMINATIONS PUBLISHED WATERHOUSE 1980, JRSNZ 10 (2): 195-214. BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129; WATERHOUSE 1980, JRSNZ 10 (1): 97-133.	
D45/f0032		Outcrop	GE12					Campbell, H.J.; 	September 23, 1980	Malakovian				246.5	245.5		GNS GS 12852	Gastropod indet.	
D45/f0032		Outcrop	GE12					De Jersey, N.J.; 	1987	Malakovian				246.5	245.5		GNS L 9251	(List based on NZGS slide; GSQ sample barren).	
D45/f0036		Outcrop	JGB 2612					Begg, J.G.; 	September 20, 1979	Malakovian				246.5	245.5				
D45/f0037		Outcrop	JGB1985					Begg, J.G.; 	August 3, 1977	Etalian				245.5	238.0		JGB 1985	Fragmental fossils.	
D45/f0037		Outcrop	JGB1985					Strong, C.P.; 	January 1985								GNS F 24496	BULK ONLY. SHED 13.	
D45/f0038		Outcrop	JGB 2016					Begg, J.G.; 	August 4, 1977	Etalian				245.5	238.0		JGB 2016	Largely from concretions.	
D45/f0042		Outcrop	JGB 2042					Begg, J.G.; 	August 17, 1977	Etalian				245.5	238.0				
D45/f0045		Outcrop	JGB 2133					Begg, J.G.; 	July 15, 1977	Etalian				245.5	238.0	Not absolutely certainly Etalian, but Mellarium and Lepismatina? and Alipunctifera c.f. 'etaliana' suggest Etalian.		Poorly preserved fossils, molluscans chloritised.	
D45/f0047		Outcrop	JGB 2168					Begg, J.G.; 	August 22, 1977	Etalian				245.5	238.0	Based on occurence of Rhynconella sp.	JGB 2168		
D45/f0048		Outcrop	JGB 2189					Begg, J.G.; 	August 2, 1977	Etalian				245.5	238.0	Unusual fauna. Upper Etalian.	JGB 2189		
D45/f0053		Outcrop	JGB 2631					Begg, J.G.; 	September 20, 1979	Etalian				245.5	238.0	Contains Daonella plus small Rhynconellid.			
D45/f0053		Outcrop	JGB 2631					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JGB 2631	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f0068		Outcrop	JGB 2612					Begg, J.G.; 	October 13, 1980	Malakovian				246.5	245.5		JGB 2612		
D45/f0096		Outcrop	134					Campbell, H.J.; 	January 15, 1982	Etalian				245.5	238.0		GNS GS 13126	PLANTAE. POSSIBLY SEVERAL SPECIES OF GYMNOTOCERAS OR/AND POSSIBLY ANAGYMNOTOCERAS SP. (BEGG THESIS 1981).	
D45/f0096		Outcrop	134					De Jersey, N.J.; 	1987	Etalian				245.5	238.0	Macrofossils from same locality: GS13126.	GNS L 10410		
D45/f0096A		Outcrop	JDC 3730					MacFarlan, D.A.B.; Campbell, J.D.; Begg, J.G.; 	January 16, 1982	Etalian				245.5	238.0		JDC 3730	Also undetermined bone fragment and leaf.	
D45/f0097		Outcrop	H11					MacFarlan, D.A.B.; 	January 16, 1982	Malakovian				246.5	245.5			Fauna similar to that at Coal Creek (S159/574)	
D45/f0097		Outcrop	H11					MacFarlan, D.A.B.; 	1992	Malakovian				246.5	245.5		Otago U OU McF H11	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f0098		Outcrop	TJK223					Campbell, J.D.; 	1969	Malakovian				246.5	245.5		TJK233		
D45/f0098		Outcrop	TJK223					MacFarlan, D.A.B.; 	1992	Malakovian				246.5	245.5		Otago U OU TJK 233	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f0098A		Outcrop	H12					MacFarlan, D.A.B.; 	April 1982	Malakovian				246.5	245.5		H12		
D45/f0098A		Outcrop	H12					MacFarlan, D.A.B.; 	1992	Malakovian				246.5	245.5		Otago U OU McF H12	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f0176		Outcrop	JDC3736=H16					MacFarlan, D.A.B.; 	February 1982	Malakovian		Etalian		246.5	238.0			Lab Number H16;JDC3736	
D45/f0298		Outcrop	HJC 1150					Campbell, H.J.; 	October 16, 1987	Malakovian				246.5	245.5		GNS GS 14323		
D45/f0319		Outcrop						MacFarlan, D.; 	1990	Malakovian				246.5	245.5				
D45/f0320		Outcrop						MacFarlan, D.; 		Malakovian				246.5	245.5				
D45/f0328		Outcrop	JDC 1969					MacFarlan, D.A.B.; 	1984	Etalian				245.5	238.0				
D45/f0328		Outcrop	JDC 1969					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 1969	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7443A	S159/f0443A	Outcrop																?bone, orthocones	
D45/f7443A	S159/f0443A	Outcrop						MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 1362	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7500	S159/f0500	Outcrop						Campbell, H.J.; 	September 5, 1981	Etalian				245.5	238.0		GNS GS 3199	DET. PUBISHED TRSNZ 79: 528-34. RECOLLECTED BY M. TEPUNGA, A.R. LILLIE & H.J. HARRINGTON IN MARCH 1944.	
D45/f7500	S159/f0500	Outcrop						Campbell, H.J.; 	September 6, 1981	Etalian				245.5	238.0		GNS GS 3199	DETERMINATIONS PUBLISHED MARWICK 1953 PAL.BULL. 21 AND BROWNE 1951 TRSNZ 79: 528-34. Anaptychus IN COLLECTION.	
D45/f7500	S159/f0500	Outcrop						MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 1346, 1347, JGB 1979	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7500	S159/f0500	Outcrop						Raine, J.I.; 	April 9, 1997	Etalian				245.5	238.0	From stratigraphy.	GNS B 388	Two small pieces transferred from GS collection today (not seen by Retallack, as on loan to Waterhouse).	
D45/f7500A	S159/f0500A	Outcrop						Speden, I.G.; 		Etalian				245.5	238.0		GNS GS 4630		
D45/f7500A	S159/f0500A	Outcrop						Wood, B.L.; 										Aptychus, jaw of Nautiloid	
D45/f7500B	S159/f0500B	Outcrop															5129	recollection of original Etalian locality	
D45/f7500B	S159/f0500B	Outcrop						Campbell, H.J.; 	July 3, 1981	Etalian				245.5	238.0		GNS GS 5129	LEAF FOUND IN COLLECTION - JGB. 3/10/83. CRINOID COLUMNALS.	
D45/f7500C	S159/f0500C	Outcrop	H19 JDC1347					Retallack, G.J.; 	1977	Etalian				245.5	238.0		GNS B 388		
D45/f7500C	S159/f0500C	Outcrop	H19 JDC1347					MacFarlan, D.A.B.; 	March 1982	Etalian				245.5	238.0		H19 JDC1347 JGB2157		
D45/f7500C	S159/f0500C	Outcrop	H19 JDC1347					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 1347, McF H19	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7540	S159/f0540	Outcrop								Etalian				245.5	238.0				
D45/f7540	S159/f0540	Outcrop						Campbell, H.J.; 	July 8, 1981	Etalian				245.5	238.0		GNS GS 5518		
D45/f7570	S159/f0570	Outcrop						Speden, I.G.; 		Etalian				245.5	238.0		GNS GS 5687		
D45/f7570	S159/f0570	Outcrop								Kaihikuan				238.0	229.0			small fragments very poor	
D45/f7572	S159/f0572	Outcrop						Waterhouse, J.B.; 		Puruhauan				259.8	254.2		GNS GS 5689	DETERMINATIONS PUBLISHED WATERHOUSE 1978, NZJGG 21 (4): 517-30. (GS 5689 IS MISTAKENLY REFERRED TO AS 5863).	
D45/f7572	S159/f0572	Outcrop								Permian				298.9	252.2				
D45/f7574	S159/f0574	Outcrop																	
D45/f7574	S159/f0574	Outcrop								Etalian				245.5	238.0				
D45/f7574	S159/f0574	Outcrop																	
D45/f7574	S159/f0574	Outcrop						Kummel, B.; 	March 20, 1957										
D45/f7574	S159/f0574	Outcrop						Begg, J.G.; 	October 26, 1983	Etalian				245.5	238.0		GNS GS 5685		
D45/f7574	S159/f0574	Outcrop						MacFarlan, D.A.B.; 	1992	Malakovian				246.5	245.5		GNS GS 5685	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7574A	S159/f0574A	Outcrop						MacFarlan, D.A.B.; 	1992	Malakovian				246.5	245.5		Otago U OU JDC 1355	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7574B	S159/f0574B	Outcrop																	
D45/f7574B	S159/f0574B	Outcrop						MacFarlan, D.A.B.; 	1992	Malakovian				246.5	245.5		Otago U OU JDC 1443, JGB 2601, McF E52	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7574C	S159/f0574C	Outcrop						MacFarlan, D.A.B.; 	1992	Malakovian				246.5	245.5		Auckland U AU 1121	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7579	S159/f0579	Outcrop								Telfordian		Makarewan		288.5	251.0		GNS GS 5868		
D45/f7579	S159/f0579	Outcrop						Waterhouse, J.B.; 		Telfordian		Makarewan		288.5	251.0		GNS GS 5868	DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129: 1-94; WATERHOUSE 1982, PAL.BULL. 48.	
D45/f7590	S159/f0590	Outcrop						Leed, H.; 	1951	Etalian				245.5	238.0	H.J. CAMPBELL 4/9/79.	GNS GS 5713		
D45/f7590	S159/f0590	Outcrop						Campbell, H.J.; 	September 4, 1979	Etalian				245.5	238.0		GNS GS 5713		
D45/f7592	S159/f0592	Outcrop								Kaihikuan				238.0	229.0				
D45/f7592	S159/f0592	Outcrop						Begg, J.G.; 	October 27, 1983	Malakovian				246.5	245.5		GNS GS 5715		
D45/f7592	S159/f0592	Outcrop						MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		GNS GS 5715	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7594	S159/f0594	Outcrop						Marwick, J.; 		Etalian	?			245.5	238.0	PRE Ge.	GNS GS 5717		
D45/f7649	S159/f0649	Outcrop						Marwick, J.; 	1954	Malakovian	?			246.5	245.5	PRE-ETALIAN.	GNS GS 6392		
D45/f7746	S159/f0746	Outcrop						Stevens, G.R.; 	1955	Malakovian				246.5	245.5		GNS GS 6457	DETERMINATIONS PUBLISHED WATERHOUSE 1979 NZJGG 22 (6): 743-9 (1980).	
D45/f7746	S159/f0746	Outcrop						Waterhouse, J.B.; 	1979	Malakovian				246.5	245.5		GNS GS 6457	DETERMINATIONS PUBLISHED WATERHOUSE 1979 NZJGG 22 (6): 743-9 (1980).	
D45/f7763	S159/f0763	Outcrop																	
D45/f7763	S159/f0763	Outcrop						MacFarlan, D.A.B.; 	1992	Malakovian				246.5	245.5		Otago U OU JDC 1356	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7905	S159/f0905	Outcrop	JDC 1871																
D45/f7905	S159/f0905	Outcrop	JDC 1871					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 1871	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7906	S159/f0906	Outcrop	JDC 1872																
D45/f7906	S159/f0906	Outcrop	JDC 1872					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 1872, JGB 1367	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7906A		Outcrop	HJC 1081					Campbell, H.J.; 	February 8, 1982	Etalian				245.5	238.0		GNS GS 13145		
D45/f7906A		Outcrop	HJC 1081					Begg, J.G.; 	November 30, 1983	Etalian				245.5	238.0		GNS GS 13145		
D45/f7906B		Outcrop	HJC 1081					Campbell, H.J.; 	February 4, 1986	Etalian				245.5	238.0		GNS GS 14046		
D45/f7911	S159/f0911	Outcrop	JDC 1881																
D45/f7911	S159/f0911	Outcrop	JDC 1881					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 1881	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D45/f7914	S159/f0914	Outcrop	JDC 1885																
